Customer Name,Segment,Customer ID
Erin Mull,Consumer,EM-14065
Erin Smith,Corporate,ES-14080
Eudokia Martin,Corporate,EM-14095
Eugene Barchas,Consumer,EB-14110
Eugene Hildebrand,Home Office,EH-14125
Eugene Moren,Home Office,EM-14140
Eva Jacobs,Consumer,EJ-14155
Evan Bailliet,Consumer,EB-14170
Evan Henry,Consumer,EH-14185
Evan Minnotte,Home Office,EM-14200
Filia McAdams,Corporate,FM-14215
Frank Atkinson,Corporate,FA-14230
Frank Carlisle,Home Office,FC-14245
Frank Gastineau,Home Office,FG-14260
Frank Hawley,Corporate,FH-14275
Frank Merwin,Home Office,FM-14290
Frank Olsen,Consumer,FO-14305
Frank Preis,Consumer,FP-14320
Fred Chung,Corporate,FC-14335
Fred Harton,Consumer,FH-14350
Fred Hopkins,Corporate,FH-14365
Fred McMath,Consumer,FM-14380
Fred Wasserman,Corporate,FW-14395
Gary Hansen,Home Office,GH-14410
Gary Hwang,Consumer,GH-14425
Gary McGarr,Consumer,GM-14440
Gary Mitchum,Home Office,GM-14455
Gary Zandusky,Consumer,GZ-14470
Gene Hale,Corporate,GH-14485
Gene McClure,Consumer,GM-14500
George Ashbrook,Consumer,GA-14515
George Bell,Corporate,GB-14530
George Zrebassa,Corporate,GZ-14545
Georgia Rosenberg,Corporate,GR-14560
Giulietta Baptist,Consumer,GB-14575
Giulietta Dortch,Corporate,GD-14590
Giulietta Weimer,Consumer,GW-14605
Grace Kelly,Corporate,GK-14620
Grant Thornton,Corporate,GT-14635
Greg Guthrie,Corporate,GG-14650
Greg Hansen,Consumer,GH-14665
Greg Matthias,Consumer,GM-14680
Greg Maxwell,Corporate,GM-14695
Greg Tran,Consumer,GT-14710
Guy Armstrong,Consumer,GA-14725
Guy Phonely,Corporate,GP-14740
Guy Thornton,Consumer,GT-14755
Hallie Redmond,Home Office,HR-14770
Harold Dahlen,Home Office,HD-14785
Harold Engle,Corporate,HE-14800
Harold Pawlan,Home Office,HP-14815
Harold Ryan,Corporate,HR-14830
Harry Greene,Consumer,HG-14845
Harry Marie,Corporate,HM-14860
Heather Jas,Home Office,HJ-14875
Heather Kirkland,Corporate,HK-14890
Helen Abelman,Consumer,HA-14905
Helen Andreada,Consumer,HA-14920
Helen Wasserman,Corporate,HW-14935
Henia Zydlo,Consumer,HZ-14950
Henry Goldwyn,Corporate,HG-14965
Henry MacAllister,Consumer,HM-14980
Herbert Flentye,Consumer,HF-14995
Hilary Holden,Corporate,HH-15010
Hunter Glantz,Consumer,HG-15025
Hunter Lopez,Consumer,HL-15040
Ionia McGrath,Consumer,IM-15055
Irene Maddox,Consumer,IM-15070
Ivan Gibson,Consumer,IG-15085
Ivan Liston,Consumer,IL-15100
Jack Garza,Consumer,JG-15115
Jack Lebron,Consumer,JL-15130
Jack O'Briant,Corporate,JO-15145
James Galang,Consumer,JG-15160
James Lanier,Home Office,JL-15175
Jamie Frazer,Consumer,JF-15190
Jamie Kunitz,Consumer,JK-15205
Jane Waco,Corporate,JW-15220
Janet Lee,Consumer,JL-15235
Janet Martin,Consumer,JM-15250
Janet Molinari,Corporate,JM-15265
Jas O'Carroll,Consumer,JO-15280
Jason Fortune-,Consumer,JF-15295
Jason Gross,Corporate,JG-15310
Jason Klamczynski,Corporate,JK-15325
Jasper Cacioppo,Consumer,JC-15340
Jay Fein,Consumer,JF-15355
Jay Kimmel,Consumer,JK-15370
Jenna Caffey,Consumer,JC-15385
Jennifer Braxton,Corporate,JB-15400
Jennifer Ferguson,Consumer,JF-15415
Jennifer Halladay,Consumer,JH-15430
Jennifer Jackson,Consumer,JJ-15445
Jennifer Patt,Corporate,JP-15460
Jeremy Ellison,Consumer,JE-15475
Jeremy Farry,Consumer,JF-15490
Jeremy Lonsdale,Consumer,JL-15505
Jeremy Pistek,Consumer,JP-15520
Jessica Myrick,Consumer,JM-15535
Jesus Ocampo,Home Office,JO-15550
Jill Fjeld,Consumer,JF-15565
Jill Matthias,Consumer,JM-15580
Jill Stevenson,Corporate,JS-15595
Jim Epp,Corporate,JE-15610
Jim Karlsson,Consumer,JK-15625
Jim Kriz,Home Office,JK-15640
Jim Mitchum,Corporate,JM-15655
Jim Radford,Consumer,JR-15670
Jim Sink,Corporate,JS-15685
Jocasta Rupert,Consumer,JR-15700
Joe Elijah,Consumer,JE-15715
Joe Kamberova,Consumer,JK-15730
Joel Eaton,Consumer,JE-15745
Joel Jenkins,Home Office,JJ-15760
John Castell,Consumer,JC-15775
John Dryer,Consumer,JD-15790
John Grady,Corporate,JG-15805
John Huston,Consumer,JH-15820
John Lee,Consumer,JL-15835
John Lucas,Consumer,JL-15850
John Murray,Consumer,JM-15865
John Stevenson,Consumer,JS-15880
Jonathan Doherty,Corporate,JD-15895
Jonathan Howell,Consumer,JH-15910
Joni Blumstein,Consumer,JB-15925
Joni Sundaresam,Home Office,JS-15940
Joni Wasserman,Consumer,JW-15955
Joseph Airdo,Consumer,JA-15970
Joseph Holt,Consumer,JH-15985
Joy Bell-,Consumer,JB-16000
Joy Daniels,Consumer,JD-16015
Joy Smith,Consumer,JS-16030
Julia Barnett,Home Office,JB-16045
Julia Dunbar,Consumer,JD-16060
Julia West,Consumer,JW-16075
Juliana Krohn,Consumer,JK-16090
Julie Creighton,Corporate,JC-16105
Julie Kriz,Home Office,JK-16120
Julie Prescott,Home Office,JP-16135
Justin Deggeller,Corporate,JD-16150
Justin Ellison,Corporate,JE-16165
Justin Hirsh,Consumer,JH-16180
Justin MacKendrick,Consumer,JM-16195
Justin Ritter,Corporate,JR-16210
Kalyca Meade,Corporate,KM-16225
Karen Bern,Corporate,KB-16240
Karen Carlisle,Corporate,KC-16255
Karen Daniels,Consumer,KD-16270
Karen Ferguson,Home Office,KF-16285
Karen Seio,Corporate,KS-16300
Karl Braun,Consumer,KB-16315
Katharine Harms,Corporate,KH-16330
Katherine Ducich,Consumer,KD-16345
Katherine Hughes,Consumer,KH-16360
Katherine Murray,Home Office,KM-16375
Katherine Nockton,Corporate,KN-16390
Katrina Bavinger,Home Office,KB-16405
Katrina Edelman,Corporate,KE-16420
Katrina Willman,Consumer,KW-16435
Kean Nguyen,Corporate,KN-16450
Kean Takahito,Consumer,KT-16465
Kean Thornton,Consumer,KT-16480
Keith Dawkins,Corporate,KD-16495
Keith Herrera,Consumer,KH-16510
Kelly Andreada,Consumer,KA-16525
Kelly Collister,Consumer,KC-16540
Kelly Lampkin,Corporate,KL-16555
Kelly Williams,Consumer,KW-16570
Ken Black,Corporate,KB-16585
Ken Brennan,Corporate,KB-16600
Ken Dana,Corporate,KD-16615
Ken Heidel,Corporate,KH-16630
Ken Lonsdale,Consumer,KL-16645
Khloe Miller,Consumer,KM-16660
Kimberly Carter,Corporate,KC-16675
Kristen Hastings,Corporate,KH-16690
Kristina Nunn,Home Office,KN-16705
Kunst Miller,Consumer,KM-16720
Larry Blacks,Consumer,LB-16735
Larry Hughes,Consumer,LH-16750
Larry Tron,Consumer,LT-16765
Laura Armstrong,Corporate,LA-16780
Laurel Beltran,Home Office,LB-16795
Laurel Elliston,Consumer,LE-16810
Laurel Workman,Corporate,LW-16825
Lauren Leatherbury,Consumer,LL-16840
Lela Donovan,Corporate,LD-16855
Lena Cacioppo,Consumer,LC-16870
Lena Creighton,Consumer,LC-16885
Lena Hernandez,Consumer,LH-16900
Lena Radford,Consumer,LR-16915
Linda Cazamias,Corporate,LC-16930
Linda Southworth,Corporate,LS-16945
Lindsay Castell,Home Office,LC-16960
Lindsay Shagiari,Home Office,LS-16975
Lindsay Williams,Corporate,LW-16990
Lisa DeCherney,Consumer,LD-17005
Lisa Hazard,Consumer,LH-17020
Lisa Ryan,Corporate,LR-17035
Liz Carlisle,Consumer,LC-17050
Liz MacKendrick,Consumer,LM-17065
Liz Pelletier,Consumer,LP-17080
Liz Preis,Consumer,LP-17095
Liz Thompson,Consumer,LT-17110
Liz Willingham,Consumer,LW-17125
Logan Currie,Consumer,LC-17140
Logan Haushalter,Consumer,LH-17155
Lori Olson,Corporate,LO-17170
Luke Foster,Consumer,LF-17185
Luke Schmidt,Corporate,LS-17200
Luke Weiss,Consumer,LW-17215
Lycoris Saunders,Consumer,LS-17230
Lynn Smith,Consumer,LS-17245
Magdelene Morse,Consumer,MM-17260
Marc Crier,Consumer,MC-17275
Marc Harrigan,Home Office,MH-17290
Maria Bertelson,Consumer,MB-17305
Maria Etezadi,Home Office,ME-17320
Maria Zettner,Home Office,MZ-17335
Maribeth Dona,Consumer,MD-17350
Maribeth Schnelling,Consumer,MS-17365
Maribeth Yedwab,Corporate,MY-17380
Marina Lichtenstein,Corporate,ML-17395
Maris LaWare,Consumer,ML-17410
Mark Cousins,Corporate,MC-17425
Mark Haberlin,Corporate,MH-17440
Mark Hamilton,Consumer,MH-17455
Mark Packer,Home Office,MP-17470
Mark Van Huff,Consumer,MV-17485
Mary O'Rourke,Consumer,MO-17500
Mary Zewe,Corporate,MZ-17515
MaryBeth Skach,Consumer,MS-17530
Mathew Reese,Home Office,MR-17545
Matt Abelman,Home Office,MA-17560
Matt Collins,Consumer,MC-17575
Matt Collister,Corporate,MC-17590
Matt Connell,Corporate,MC-17605
Matt Hagelstein,Corporate,MH-17620
Matthew Clasen,Corporate,MC-17635
Matthew Grinstein,Home Office,MG-17650
Maureen Fritzler,Corporate,MF-17665
Maureen Gastineau,Home Office,MG-17680
Maureen Gnade,Consumer,MG-17695
Maurice Satty,Consumer,MS-17710
Max Engle,Consumer,ME-17725
Max Jones,Consumer,MJ-17740
Max Ludwig,Home Office,ML-17755
Maxwell Schwartz,Consumer,MS-17770
Maya Herman,Corporate,MH-17785
Meg O'Connel,Home Office,MO-17800
Meg Tillman,Consumer,MT-17815
Melanie Seite,Consumer,MS-17830
Michael Chen,Consumer,MC-17845
Michael Dominguez,Corporate,MD-17860
Michael Grace,Home Office,MG-17875
Michael Granlund,Home Office,MG-17890
Michael Kennedy,Corporate,MK-17905
Michael Moore,Consumer,MM-17920
Michael Nguyen,Consumer,MN-17935
Michael Oakman,Consumer,MO-17950
Michael Paige,Corporate,MP-17965
Michael Stewart,Corporate,MS-17980
Michelle Arnett,Home Office,MA-17995
Michelle Ellison,Corporate,ME-18010
Michelle Huthwaite,Consumer,MH-18025
Michelle Lonsdale,Corporate,ML-18040
Michelle Moray,Consumer,MM-18055
Michelle Tran,Home Office,MT-18070
Mick Brown,Consumer,MB-18085
Mick Crebagga,Consumer,MC-18100
Mick Hernandez,Home Office,MH-18115
Mike Caudle,Corporate,MC-18130
Mike Gockenbach,Consumer,MG-18145
Mike Kennedy,Consumer,MK-18160
Mike Pelletier,Home Office,MP-18175
Mike Vittorini,Consumer,MV-18190
Mitch Gastineau,Corporate,MG-18205
Mitch Webber,Consumer,MW-18220
Mitch Willingham,Corporate,MW-18235
Monica Federle,Corporate,MF-18250
Muhammed Lee,Consumer,ML-18265
Muhammed MacIntyre,Corporate,MM-18280
Muhammed Yedwab,Corporate,MY-18295
Nancy Lomonaco,Home Office,NL-18310
Naresj Patel,Consumer,NP-18325
Nat Carroll,Consumer,NC-18340
Nat Gilpin,Corporate,NG-18355
Natalie DeCherney,Consumer,ND-18370
Natalie Fritzler,Consumer,NF-18385
Natalie Webber,Consumer,NW-18400
Nathan Cano,Consumer,NC-18415
Nathan Gelder,Consumer,NG-18430
Nathan Mautz,Home Office,NM-18445
Neil Ducich,Corporate,ND-18460
Neil Französisch,Home Office,NF-18475
Neil Knudson,Home Office,NK-18490
Neola Schneider,Consumer,NS-18505
Neoma Murray,Consumer,NM-18520
Nick Crebassa,Corporate,NC-18535
Nick Radford,Consumer,NR-18550
Nick Zandusky,Home Office,NZ-18565
Nicole Brennan,Corporate,NB-18580
Nicole Fjeld,Home Office,NF-18595
Nicole Hansen,Corporate,NH-18610
Noah Childs,Corporate,NC-18625
Noel Staavos,Corporate,NS-18640
Nona Balk,Corporate,NB-18655
Nora Paige,Consumer,NP-18670
Nora Pelletier,Home Office,NP-18685
Nora Preis,Consumer,NP-18700
Odella Nelson,Corporate,ON-18715
Olvera Toch,Consumer,OT-18730
Pamela Coakley,Corporate,PC-18745
Pamela Stobb,Consumer,PS-18760
Parhena Norris,Home Office,PN-18775
Patricia Hirasaki,Home Office,PH-18790
Patrick Bzostek,Home Office,PB-18805
Patrick Gardner,Consumer,PG-18820
Patrick Jones,Corporate,PJ-18835
Patrick O'Brill,Consumer,PO-18850
Patrick O'Donnell,Consumer,PO-18865
Patrick Ryan,Consumer,PR-18880
Paul Gonzalez,Consumer,PG-18895
Paul Knutson,Home Office,PK-18910
Paul Lucas,Home Office,PL-18925
Paul MacIntyre,Consumer,PM-18940
Paul Prost,Home Office,PP-18955
Paul Stevenson,Home Office,PS-18970
Paul Van Hugh,Home Office,PV-18985
Pauline Chand,Home Office,PC-19000
Pauline Johnson,Consumer,PJ-19015
Pauline Webber,Corporate,PW-19030
Penelope Sewall,Home Office,PS-19045
Pete Armstrong,Home Office,PA-19060
Pete Kriz,Consumer,PK-19075
Pete Takahito,Consumer,PT-19090
Peter Bühler,Consumer,PB-19105
Peter Fuller,Consumer,PF-19120
Peter McVee,Home Office,PM-19135
Philip Brown,Consumer,PB-19150
Philip Fox,Consumer,PF-19165
Philisse Overcash,Home Office,PO-19180
Phillina Ober,Home Office,PO-19195
Phillip Breyer,Corporate,PB-19210
Phillip Flathmann,Consumer,PF-19225
Pierre Wener,Consumer,PW-19240
Quincy Jones,Corporate,QJ-19255
Rachel Payne,Corporate,RP-19270
Ralph Arnett,Consumer,RA-19285
Ralph Kennedy,Consumer,RK-19300
Ralph Ritter,Consumer,RR-19315
Randy Bradley,Consumer,RB-19330
Randy Ferguson,Corporate,RF-19345
Raymond Buch,Consumer,RB-19360
Raymond Messe,Consumer,RM-19375
Resi Pölking,Consumer,RP-19390
Ricardo Emerson,Consumer,RE-19405
Ricardo Sperren,Corporate,RS-19420
Richard Bierner,Consumer,RB-19435
Richard Eichhorn,Consumer,RE-19450
Rick Bensley,Home Office,RB-19465
Rick Duston,Consumer,RD-19480
Rick Hansen,Consumer,RH-19495
Rick Huthwaite,Home Office,RH-19510
Rick Reed,Corporate,RR-19525
Rick Wilson,Corporate,RW-19540
Ritsa Hightower,Consumer,RH-19555
Rob Beeghly,Consumer,RB-19570
Rob Dowd,Consumer,RD-19585
Rob Haberlin,Consumer,RH-19600
Rob Lucas,Consumer,RL-19615
Rob Williams,Corporate,RW-19630
Robert Barroso,Corporate,RB-19645
Robert Dilbeck,Home Office,RD-19660
Robert Marley,Home Office,RM-19675
Robert Waldorf,Consumer,RW-19690
Roger Barcio,Home Office,RB-19705
Roger Demir,Consumer,RD-19720
Roland Fjeld,Consumer,RF-19735
Roland Murray,Consumer,RM-19750
Roland Schwarz,Corporate,RS-19765
Rose O'Brian,Consumer,RO-19780
Ross Baird,Home Office,RB-19795
Ross DeVincentis,Home Office,RD-19810
Roy Collins,Consumer,RC-19825
Roy Französisch,Consumer,RF-19840
Roy Phan,Corporate,RP-19855
Roy Skaria,Home Office,RS-19870
Ruben Ausman,Corporate,RA-19885
Ruben Dartt,Consumer,RD-19900
Russell Applegate,Consumer,RA-19915
Russell D'Ascenzo,Consumer,RD-19930
Ryan Akin,Consumer,RA-19945
Ryan Crowe,Consumer,RC-19960
Sally Hughsby,Corporate,SH-19975
Sally Knutson,Consumer,SK-19990
Sally Matthias,Consumer,SM-20005
Sam Craven,Consumer,SC-20020
Sam Zeldin,Home Office,SZ-20035
Sample Company A,Home Office,SC-20050
Sandra Flanagan,Consumer,SF-20065
Sandra Glassco,Consumer,SG-20080
Sanjit Chand,Consumer,SC-20095
Sanjit Engle,Consumer,SE-20110
Sanjit Jacobs,Home Office,SJ-20125
Saphhira Shifley,Corporate,SS-20140
Sara Luxemburg,Home Office,SL-20155
Sarah Bern,Consumer,SB-20170
Sarah Brown,Consumer,SB-20185
Sarah Foster,Consumer,SF-20200
Sarah Jordon,Consumer,SJ-20215
Scot Coram,Corporate,SC-20230
Scot Wooten,Consumer,SW-20245
Scott Cohen,Corporate,SC-20260
Scott Williamson,Consumer,SW-20275
Sean Braxton,Corporate,SB-20290
Sean Christensen,Consumer,SC-20305
Sean Miller,Home Office,SM-20320
Sean O'Donnell,Consumer,SO-20335
Sean Wendt,Home Office,SW-20350
Seth Vernon,Consumer,SV-20365
Shahid Collister,Consumer,SC-20380
Shahid Hopkins,Consumer,SH-20395
Shahid Shariari,Consumer,SS-20410
Sharelle Roach,Home Office,SR-20425
Shaun Chance,Corporate,SC-20440
Shaun Weien,Consumer,SW-20455
Sheri Gordon,Consumer,SG-20470
Shirley Daniels,Home Office,SD-20485
Shirley Jackson,Consumer,SJ-20500
Shirley Schmidt,Home Office,SS-20515
Shui Tom,Consumer,ST-20530
Sibella Parks,Corporate,SP-20545
Skye Norling,Home Office,SN-20560
Sonia Cooley,Consumer,SC-20575
Sonia Sunley,Consumer,SS-20590
Speros Goranitis,Consumer,SG-20605
Stefania Perrino,Corporate,SP-20620
Stefanie Holloman,Corporate,SH-20635
Stephanie Phelps,Corporate,SP-20650
Stephanie Ulpright,Home Office,SU-20665
Steve Carroll,Home Office,SC-20680
Steve Chapman,Corporate,SC-20695
Steve Nguyen,Home Office,SN-20710
Steven Cartwright,Consumer,SC-20725
Steven Roelle,Home Office,SR-20740
